plate,fiberid,mjd,z,zwarning,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,oi_6300_flux,oi_6300_flux_err,oiii_5007_flux,oiii_5007_flux_err
1243,327,52930,0.1760887,0,21.67023,2.28885,221.6023,42.07629,43.06234,2.165232,22.33823,2.019902,3.927317,1.625214,9.421317,6.599401
817,578,52381,0.1467955,0,18.95962,3.213763,210.9435,3.634772,85.90719,2.546976,43.54056,2.436337,9.782981,2.043897,12.54797,2.147866
1755,163,53386,0.1416982,0,33.71111,3.979405,386.5762,6.96268,290.0542,6.249825,42.66571,4.624587,17.45647,3.924697,16.50845,4.26696
1716,608,53827,0.1031191,0,10.62461,1.957726,114.4037,3.607918,68.28017,2.473216,17.66482,2.116289,7.072106,2.079004,10.968,2.071587
1788,423,54468,0.07100993,0,84.35647,3.028931,921.5165,8.931745,679.6844,6.232337,172.9089,4.323247,53.81686,3.344239,65.06718,3.340301
525,635,52295,0.0475678,0,42.18907,3.284845,451.2279,7.119634,412.843,6.465961,80.60492,4.475786,29.47966,3.954916,22.01981,3.413666
1177,276,52824,0.08752164,0,12.48933,2.173514,153.3071,2.994608,130.8718,2.742243,24.34448,2.603091,8.520669,1.826403,2.048406,2.03888
1947,262,53431,0.08758677,0,14.71776,2.680201,194.894,3.824549,174.4586,3.685939,32.42695,3.454887,13.86048,2.559044,10.9004,3.126997
309,384,51994,0.3346041,0,10.46643,1.665088,105.7665,16.3099,85.61266,5.247394,18.56314,6.292253,16.64162,3.204977,50.12996,1.889946
851,456,52376,0.1352257,0,25.1868,2.884511,256.6406,4.595262,205.6923,4.440039,53.41003,4.514012,20.19986,2.629168,16.38929,3.540346
2758,551,54523,0.07800347,0,16.80149,2.800516,181.7396,3.605705,234.6593,3.710487,57.83626,3.828906,24.58665,2.629277,31.54641,3.116965
2274,364,53726,0.09160618,0,44.5106,2.32579,479.9265,4.13362,317.5376,3.312216,89.50102,2.775858,22.39229,2.063589,26.39867,2.642726
1989,140,53772,0.08536381,0,27.35638,2.909671,274.9835,4.555588,198.3442,3.862016,51.2137,3.301854,21.16541,2.880658,18.78704,2.894048
400,366,51820,0.07960193,0,24.82089,3.072977,261.4767,4.718769,220.9405,4.256491,44.5958,3.825266,12.18976,2.717097,8.06674,3.250629
1656,485,53533,0.1754296,0,22.12329,3.936487,242.367,14.16754,132.1526,7.099853,20.02192,6.115698,5.579717,4.503788,69.12602,5.885024
1994,345,53845,0.130492,0,15.20256,2.416394,153.2352,3.194974,91.3699,2.9442,35.72341,2.729054,10.50732,1.829492,4.374231,2.516917
1156,121,52641,0.1369437,0,13.41567,2.057531,180.7675,4.234415,10.56774,3.463776,-4.74834,3.666767,0.9691358,1.969258,21.57071,3.669126
296,319,51984,0.03347733,0,40.49438,3.072611,472.7916,5.362268,376.6184,4.631546,85.04716,3.414735,27.95622,2.930546,19.09305,3.237986
1556,260,53740,0.1068594,0,10.1602,1.761289,104.7562,2.251866,143.0202,2.703019,23.75901,1.878644,11.22437,1.544291,29.07904,2.190305
767,305,52252,0.06690872,0,9.854728,1.94749,137.564,3.163191,68.86478,2.501005,32.24252,2.027741,6.05091,1.638497,14.10443,2.246156
997,68,52734,0.073213,0,50.91853,4.862622,512.1575,9.249936,460.8902,8.961295,113.07,6.82771,40.67234,5.766445,53.09262,5.798069
1859,76,53177,0.1604249,0,12.32129,2.233844,126.4859,4.335854,54.79669,2.89559,30.65112,3.696012,5.269205,1.974202,8.011651,2.708972
1781,309,53297,0.08333812,0,179.842,4.355724,1813.411,14.04289,881.2493,7.73945,307.5805,6.907654,77.80751,3.735016,111.5768,4.808609
387,46,51791,0.08485557,0,23.47099,3.195434,235.0885,4.186017,175.794,3.694421,54.18366,4.099494,13.62059,3.112867,18.03224,3.33972
1538,184,52937,0.1009939,0,9.386575,1.394564,107.1092,2.168728,74.94558,2.936272,20.36351,1.866957,8.366905,1.373495,4.660182,1.441002
2173,536,53874,0.1536274,0,18.87836,2.457418,206.9937,4.088406,156.1272,4.943226,34.54434,3.883511,11.09985,2.566091,26.95066,2.902048
2574,101,54084,0.06546606,0,25.53133,2.526547,328.1613,4.623629,311.5943,4.338293,88.12727,3.218686,29.56072,2.618994,31.04713,2.905378
1753,252,53383,0.002754746,0,17.44473,1.564056,234.6638,2.834483,127.0368,2.213807,53.88775,1.786698,9.783667,1.463291,7.660869,1.474844
1358,7,52994,0.06381465,0,17.10256,2.142676,277.0282,4.434088,193.3537,3.749121,44.31253,2.726979,16.43532,2.304766,7.019761,2.435125
297,343,51959,0.01842461,0,135.9731,6.041052,1465.977,17.42972,1226.406,15.3072,327.8312,10.87609,97.01822,8.314874,144.1201,7.168422
450,522,51908,0.1447751,0,13.87319,2.349983,165.3728,3.143878,196.5312,3.01043,66.01637,2.54728,40.00451,2.027693,108.9367,3.023962
2121,42,54180,0.0252461,0,176.6336,4.789598,1830.461,16.15401,1192.35,11.29363,318.3377,7.618278,70.59424,5.14769,94.50802,4.633356
484,413,51907,0.1353533,0,17.60592,2.933903,181.147,3.733352,124.0307,4.065486,34.43319,4.619976,7.318985,2.062366,11.138,3.457733
2024,607,53503,0.07684467,0,11.87474,2.333908,138.8899,3.13278,157.5005,3.07258,47.78888,2.83079,18.0344,2.067493,18.16119,2.470831
1739,77,53050,0.03041632,0,14.08316,2.790284,157.4961,3.409344,91.91428,2.651707,42.76336,2.62253,11.47196,1.997267,82.32294,3.289908
288,618,52000,0.09861849,0,14.59263,2.907769,180.5883,4.437369,179.5024,4.834087,31.06169,3.618548,11.10891,3.071074,31.81257,3.57243
767,114,52252,0.03330208,0,21.56417,2.499446,241.6965,4.446105,278.8205,4.790132,72.22876,3.628945,25.61559,3.158455,19.42602,2.975516
2016,351,53799,0.1171409,0,35.16254,4.171913,353.7188,7.893921,305.5891,7.099452,88.53628,5.298174,37.64407,4.451213,38.75089,5.077233
1343,630,52790,0.101555,0,16.21674,3.050554,301.382,5.152016,272.5492,4.96903,75.28413,3.572729,35.69102,2.61098,36.56406,3.191606
933,224,52642,0.165824,0,46.32966,2.85026,474.3243,5.998268,285.7693,4.31495,95.72926,3.298842,23.62727,2.743663,31.24811,3.203267
2275,472,53709,0.03753406,0,549.6396,5.023924,15422.57,1851.473,419.5824,3.51705,237.5699,2.933207,42.45863,1.718457,6069.284,839.922
808,130,52556,0.3542298,0,7.048545,0.9890496,72.21035,9.1372,33.76758,5.953937,5.704526,4.532955,2.694426,2.41839,4.323206,1.239005
269,279,51910,0.04447528,0,21.297,2.540595,222.6054,4.035725,158.629,3.799889,43.62543,2.77076,17.87173,2.706936,12.71092,2.768859
1300,508,52973,0.06387475,0,27.49252,2.599252,435.0874,5.371321,318.2511,4.365511,74.93828,3.173951,21.41435,2.57774,26.04684,2.899796
2139,351,53878,0.1298735,0,13.03559,2.456224,133.2384,3.270092,70.4053,2.958905,25.63491,2.620305,9.067432,2.039719,9.899026,2.55794
301,91,51942,0.1063117,0,21.98931,2.384295,225.1844,3.757578,131.3685,4.546105,36.63847,2.558943,12.65238,2.118398,18.4718,2.508632
2297,283,53738,0.1627362,0,16.07402,2.345543,163.1211,5.161557,54.8404,3.418964,17.20777,3.487249,2.450754,2.544563,5.044962,2.616811
2125,297,53795,0.1172307,0,37.79837,3.004606,379.2017,6.298051,246.6277,4.387228,56.27285,2.890593,17.11825,2.326731,19.77307,2.995727
1019,261,52707,0.008177739,0,8340.336,76.26853,164078.1,11730.39,16486.71,105.3869,4957.016,58.06689,805.2343,27.24107,6863.945,70.69194
859,600,52317,0.0780323,0,23.92271,2.729911,251.8323,4.234592,249.2848,3.918852,48.2141,3.487227,14.60579,2.429181,14.8912,2.978277
2597,442,54231,0.003003062,0,76.51117,6.386838,1010.377,18.33182,1455.02,21.16237,542.9788,16.55016,177.249,12.66724,295.3256,10.39771
1556,13,53740,0.1745997,0,11.3136,1.842109,113.282,4.32095,39.04755,1.753011,19.21584,3.557501,-3.496095,3.364638,11.90829,2.098809
2659,527,54498,0.1856361,0,9.029724,1.657926,91.39169,2.411805,81.57254,2.44876,11.42115,2.994644,10.38026,1.77625,11.65629,1.971106
2218,199,53816,0.1007004,0,15.03504,1.989443,169.2439,2.758653,97.9903,3.376208,29.2417,2.226396,5.807719,1.54154,5.412961,2.05748
2659,637,54498,0.2712816,0,31.50883,2.630967,465.765,52.59575,94.27303,5.496723,62.6703,6.182055,23.50763,3.744004,48.12247,3.810374
1738,497,53051,0.05444192,0,18.74267,3.285124,259.9286,6.27675,278.2707,5.744935,72.80091,4.298018,33.1972,3.753183,41.30234,3.797726
835,628,52326,0.1038016,0,40.20016,3.23567,433.1843,6.07504,242.1248,4.502962,73.21275,3.465524,15.9449,2.926646,16.0854,3.414309
2423,602,54149,0.04399493,0,14.63828,1.86112,241.9314,3.703845,175.416,3.567305,46.22688,2.535693,19.5606,2.261892,9.930673,2.068141
761,526,54524,0.1360129,0,38.4168,2.193986,415.6072,4.498219,246.9206,3.599962,84.16044,3.893464,25.3328,1.858895,30.35016,2.778428
1400,125,53470,0.05761975,0,44.68433,2.78697,465.7853,5.394639,427.833,4.857574,81.63725,3.20931,24.01199,2.612424,55.63598,3.206604
2570,298,54081,0.1177513,0,21.11319,2.913816,240.6526,4.763107,236.2164,4.147603,72.81493,2.960972,26.3415,2.495527,47.07645,3.275495
2420,157,54086,0.1001944,0,8.212365,1.476752,96.99937,1.901704,39.06207,4.384495,16.00379,1.748951,2.077882,1.086106,2.908383,1.416832
776,633,52319,0.1562403,0,45.67687,7.012038,641.841,13.14846,435.1895,11.01183,109.4279,6.734537,31.20523,5.931044,369.0732,8.542867
483,143,51924,0.08527225,0,31.37209,3.28456,320.319,5.872143,142.8848,4.716466,43.54985,4.222033,12.71438,3.534892,17.50883,3.382069
727,2,52207,0.1754174,0,20.49483,3.363243,255.1355,30.62844,52.54585,3.575179,19.00727,3.965799,-1.622532,3.104816,2.294868,5.047808
1865,638,53312,0.06841437,0,12.90144,2.357566,148.875,3.535539,100.5452,2.982547,38.89756,2.65191,8.970228,2.187706,6.215332,2.50474
349,399,51699,0.3615204,0,7.292754,0.910643,75.12446,3.947891,8.117691,2.694558,10.49836,2.514188,1.815289,1.561533,5.017498,0.8767132
978,583,52441,0.2478444,0,19.99877,3.424577,219.1738,13.53162,337.7395,12.04387,61.62268,7.449325,22.58369,5.91535,47.31135,3.814537
2023,51,53851,0.02305789,0,222.1076,5.602025,2236.031,18.23826,1360.322,11.44047,544.8231,8.516184,182.3014,5.25287,151.1361,5.587503
2795,589,54563,0.2569929,0,11.15065,1.703433,120.4203,3.126752,59.37738,3.275947,25.92093,2.460145,6.805767,9.894175,10.29055,1.591943
646,147,52523,0.1756193,0,50.54839,2.292871,569.1434,87.93262,85.06006,2.208939,34.38107,2.073545,7.522957,1.735563,14.73121,2.521999
599,294,52317,0.1339355,0,19.31412,2.852758,216.3112,4.474248,166.8534,4.105132,35.12595,3.956678,16.13333,2.606538,14.41206,3.402117
283,322,51959,0.07695858,0,32.60326,3.119504,388.4686,5.7934,231.7308,4.733029,80.82509,4.150726,18.51406,3.043056,12.99289,3.148672
1754,264,53385,0.1163609,0,16.85096,2.415699,176.0625,4.949382,130.2323,4.69359,35.95047,2.772037,8.234134,2.225562,12.82278,2.608826
1815,152,53884,0.08901037,0,20.03181,3.369605,206.7112,4.96588,121.0353,4.177317,24.48729,4.024613,7.405242,3.295906,13.80859,3.483674
2764,521,54535,0.1032805,0,65.1987,3.021248,652.6014,7.976494,541.1053,6.812222,132.6907,4.707025,40.90143,3.618199,56.33809,3.360894
1839,264,53471,0.03526083,0,116.8536,4.143806,1349.253,12.93396,842.2194,9.413368,197.8643,6.586201,48.42504,4.822217,40.63727,4.016312
2651,126,54507,0.04588925,0,31.76184,4.465855,319.7136,7.579971,286.6224,6.977634,103.2491,5.655258,40.34616,4.966942,32.78878,4.984513
713,523,52178,0.04784027,0,41.86589,2.924171,454.2248,5.657104,256.1704,4.313074,99.84724,3.410787,29.15544,2.788166,72.34504,3.386838
1438,275,53054,0.02500547,0,134.549,4.773006,1359.17,13.36449,872.5649,9.812248,262.0497,7.086467,61.13643,5.02228,64.56565,4.745228
1374,103,53083,0.03905982,0,57.36127,3.447483,623.5309,7.271778,621.4141,6.830449,133.7301,4.581919,43.64579,3.822657,38.70695,3.741902
1426,579,52993,0.05266351,0,44.48122,2.819804,465.9279,5.933955,283.0043,4.402694,90.94261,3.311181,22.82911,2.636034,28.59156,2.837651
333,401,52313,0.1972694,0,38.00791,2.352933,427.2742,74.92846,65.71926,4.110087,32.15933,2.090866,5.373123,1.553196,23.66227,1.903273
893,6,52589,0.1650247,0,19.25908,2.921396,201.541,5.082927,203.6407,4.741178,36.92078,5.049018,16.06895,3.832029,20.3906,3.562133
728,71,52520,0.04665691,0,16.34222,2.69024,175.6354,4.221559,148.3933,3.492053,25.98138,2.436629,7.305902,2.245344,3.762913,2.602035
883,75,52430,0.05702923,0,56.90227,7.006011,572.3018,14.91785,946.6678,13.96683,254.639,7.856053,112.5794,6.692901,128.6012,7.61803
1847,192,54176,0.07344827,0,16.11773,2.966092,228.4629,5.527992,192.6998,5.066791,58.71666,4.010093,13.8731,3.255742,25.15416,3.370515
882,589,52370,0.06315915,0,83.10341,3.066301,832.7147,8.772003,568.2493,6.252295,144.6485,4.146345,47.75915,3.275729,68.87142,3.560325
2017,2,53474,0.09926645,0,63.76698,8.751252,641.3117,14.30372,529.7087,11.89886,175.0904,7.746339,63.50527,6.585244,169.1779,7.336672
2035,251,53436,0.1526686,0,42.03484,2.789276,427.1484,58.8157,129.4313,9.960434,0,-0.7672461,6.525086,2.092104,18.44106,3.158289
2884,440,54526,0.05504708,0,37.43126,4.151106,514.2588,9.696898,689.6659,10.0362,199.8885,7.593397,71.63633,6.358097,83.55623,5.32382
674,350,52201,0.1306821,0,22.30707,2.652433,231.711,3.95083,180.0754,3.663958,34.91447,3.360459,8.32421,2.030617,13.22283,2.749393
1924,250,53330,0.1244886,0,269.8918,4.409627,3623.752,669.4268,321.1224,4.308164,166.1716,3.558085,30.88685,2.008668,179.7431,3.978029
